DOY,DOW,year,hour,year_time,year_day,E_V_m_Wank,E_V_m_Wank_valid_obs,Wind_m_s_Wank,NOX_ug_m3_Wank,Vis_km_Wank,temp_no_seasonality
1,7,1977,0,1977.00273972603,1977.00273972603,82,0,5.6,NaN,85.78,5.48712121212121
1,7,1977,1,1977.00285388128,1977.00273972603,82,0,8.4,NaN,89.68,6.48712121212121
1,7,1977,2,1977.00296803653,1977.00273972603,82,0,8.6,NaN,91.33,6.18712121212121
1,7,1977,3,1977.00308219178,1977.00273972603,80,0,8.1,NaN,93.85,6.48712121212121
1,7,1977,4,1977.00319634703,1977.00273972603,77,0,9.8,NaN,95.78,7.38712121212121
1,7,1977,5,1977.00331050228,1977.00273972603,78,0,9.5,NaN,97.44,7.68712121212121
1,7,1977,6,1977.00342465753,1977.00273972603,83,0,9.7,NaN,97.47,7.28712121212121
1,7,1977,7,1977.00353881279,1977.00273972603,86,0,9.4,NaN,95.38,6.98712121212121
1,7,1977,8,1977.00365296804,1977.00273972603,82,0,7.5,NaN,93.72,7.58712121212121
1,7,1977,9,1977.00376712329,1977.00273972603,79,0,7.7,NaN,93.22,8.28712121212121
1,7,1977,10,1977.00388127854,1977.00273972603,84,0,6.1,NaN,92.54,8.18712121212121
1,7,1977,11,1977.00399543379,1977.00273972603,91,1,5.3,NaN,90.94,7.58712121212121
1,7,1977,12,1977.00410958904,1977.00273972603,93,0,6,NaN,91.13,7.28712121212121
1,7,1977,13,1977.00422374429,1977.00273972603,99,0,6.6,NaN,89.84,7.18712121212121
1,7,1977,14,1977.00433789954,1977.00273972603,104,0,7.3,NaN,86.39,6.28712121212121
1,7,1977,15,1977.00445205479,1977.00273972603,102,0,5.7,NaN,86.45,5.78712121212121
1,7,1977,16,1977.00456621005,1977.00273972603,100,1,5,NaN,90.98,5.88712121212121
1,7,1977,17,1977.0046803653,1977.00273972603,107,1,5,NaN,94.56,6.18712121212121
1,7,1977,18,1977.00479452055,1977.00273972603,107,1,4.3,NaN,98.85,6.08712121212121
1,7,1977,19,1977.0049086758,1977.00273972603,104,1,5.4,NaN,98.82,5.88712121212121
1,7,1977,20,1977.00502283105,1977.00273972603,123,1,5.4,NaN,96.47,5.08712121212121
1,7,1977,21,1977.0051369863,1977.00273972603,137,1,3.4,NaN,71.36,3.58712121212121
1,7,1977,22,1977.00525114155,1977.00273972603,158,1,2.8,NaN,33.03,2.28712121212121
1,7,1977,23,1977.0053652968,1977.00273972603,177,1,2.3,NaN,12.03,1.48712121212121
2,1,1977,0,1977.00547945205,1977.00547945205,154,1,2.1,NaN,5,2.17537878787879
2,1,1977,1,1977.00559360731,1977.00547945205,141,1,3.3,NaN,2.2,2.17537878787879
2,1,1977,2,1977.00570776256,1977.00547945205,84,1,3.8,NaN,1.13,2.17537878787879
2,1,1977,3,1977.00582191781,1977.00547945205,44,1,3.1,NaN,1.18,2.17537878787879
2,1,1977,4,1977.00593607306,1977.00547945205,33,1,2.9,NaN,5.93,1.97537878787879
2,1,1977,5,1977.00605022831,1977.00547945205,20,1,2.7,NaN,12.03,1.77537878787879
2,1,1977,6,1977.00616438356,1977.00547945205,22,1,2,NaN,36.43,1.67537878787879
2,1,1977,7,1977.00627853881,1977.00547945205,28,1,1.4,NaN,42.82,1.57537878787879
2,1,1977,8,1977.00639269406,1977.00547945205,71,1,1.2,NaN,19.89,1.67537878787879
2,1,1977,9,1977.00650684931,1977.00547945205,109,1,3.8,NaN,7.51,1.37537878787879
2,1,1977,10,1977.00662100457,1977.00547945205,223,0,6.7,NaN,1.23,0.575378787878789
2,1,1977,11,1977.00673515982,1977.00547945205,223,1,5.4,NaN,1.73,0.375378787878788
2,1,1977,12,1977.00684931507,1977.00547945205,378,0,3.9,NaN,1.68,0.575378787878789
2,1,1977,13,1977.00696347032,1977.00547945205,255,0,3.4,NaN,3.12,0.475378787878789
2,1,1977,14,1977.00707762557,1977.00547945205,140,1,2.6,NaN,5.63,0.475378787878789
2,1,1977,15,1977.00719178082,1977.00547945205,156,1,3.3,NaN,3.59,0.375378787878788
2,1,1977,16,1977.00730593607,1977.00547945205,140,1,4.6,NaN,1.07,0.0753787878787886
2,1,1977,17,1977.00742009132,1977.00547945205,105,1,4.9,NaN,1.13,-0.124621212121212
2,1,1977,18,1977.00753424658,1977.00547945205,79,1,4.3,NaN,20.22,0.0753787878787886
2,1,1977,19,1977.00764840183,1977.00547945205,60,1,3.2,NaN,48.53,0.375378787878788
2,1,1977,20,1977.00776255708,1977.00547945205,47,1,2.5,NaN,58.36,0.675378787878789
2,1,1977,21,1977.00787671233,1977.00547945205,47,1,2.9,NaN,65.24,0.675378787878789
2,1,1977,22,1977.00799086758,1977.00547945205,54,1,3.2,NaN,67.68,0.375378787878788
2,1,1977,23,1977.00810502283,1977.00547945205,58,1,2.7,NaN,57.47,0.0753787878787886
3,2,1977,0,1977.00821917808,1977.00821917808,48,1,1.7,NaN,55.43,-1.07109375
3,2,1977,1,1977.00833333333,1977.00821917808,53,1,1.1,NaN,61.51,-0.97109375
3,2,1977,2,1977.00844748858,1977.00821917808,53,1,1.6,NaN,62.47,-1.07109375
3,2,1977,3,1977.00856164384,1977.00821917808,47,1,2.5,NaN,50.4,-1.27109375
3,2,1977,4,1977.00867579909,1977.00821917808,57,1,2.9,NaN,41.77,-1.47109375
3,2,1977,5,1977.00878995434,1977.00821917808,60,1,2.8,NaN,41.95,-1.57109375
3,2,1977,6,1977.00890410959,1977.00821917808,38,1,1.9,NaN,41.62,-1.57109375
3,2,1977,7,1977.00901826484,1977.00821917808,35,1,1.2,NaN,31.69,-1.47109375
3,2,1977,8,1977.00913242009,1977.00821917808,69,1,1.3,NaN,11.21,-1.57109375
3,2,1977,9,1977.00924657534,1977.00821917808,94,1,1.3,NaN,2.14,-1.47109375
3,2,1977,10,1977.00936073059,1977.00821917808,453,0,1,NaN,2.08,-1.07109375
3,2,1977,11,1977.00947488584,1977.00821917808,453,0,0.9,NaN,4.61,-0.77109375
3,2,1977,12,1977.0095890411,1977.00821917808,NaN,0,1,NaN,5.23,-0.77109375
3,2,1977,13,1977.00970319635,1977.00821917808,301,0,2.4,NaN,2.84,-1.37109375
3,2,1977,14,1977.0098173516,1977.00821917808,311,0,3.6,NaN,2,-2.27109375
3,2,1977,15,1977.00993150685,1977.00821917808,320,0,3.5,NaN,2.05,-2.67109375
3,2,1977,16,1977.0100456621,1977.00821917808,NaN,0,3.7,NaN,1.52,-2.77109375
3,2,1977,17,1977.01015981735,1977.00821917808,NaN,0,3.4,NaN,1.04,-2.77109375
3,2,1977,18,1977.0102739726,1977.00821917808,298,0,2.5,NaN,2.28,-2.47109375
3,2,1977,19,1977.01038812785,1977.00821917808,294,0,1.6,NaN,12.18,-2.27109375
3,2,1977,20,1977.01050228311,1977.00821917808,359,0,1,NaN,18.14,-2.07109375
3,2,1977,21,1977.01061643836,1977.00821917808,362,0,0.9,NaN,8.24,-1.97109375
3,2,1977,22,1977.01073059361,1977.00821917808,207,1,1.4,NaN,8.34,-1.97109375
3,2,1977,23,1977.01084474886,1977.00821917808,116,1,1.6,NaN,17.42,-2.17109375
4,3,1977,0,1977.01095890411,1977.01095890411,66,1,1.2,NaN,14.59,-1.16854838709678
4,3,1977,1,1977.01107305936,1977.01095890411,68,1,1.1,NaN,11.28,-1.06854838709677
4,3,1977,2,1977.01118721461,1977.01095890411,99,1,1,NaN,8.36,-0.868548387096775
4,3,1977,3,1977.01130136986,1977.01095890411,148,1,0.8,NaN,9.38,-0.668548387096775
4,3,1977,4,1977.01141552511,1977.01095890411,170,1,0.8,NaN,12.55,-0.568548387096775
4,3,1977,5,1977.01152968037,1977.01095890411,187,1,0.9,NaN,7.61,-0.568548387096775
4,3,1977,6,1977.01164383562,1977.01095890411,217,1,1,NaN,7.49,-0.568548387096775
4,3,1977,7,1977.01175799087,1977.01095890411,211,1,1.8,NaN,6.88,-0.968548387096775
4,3,1977,8,1977.01187214612,1977.01095890411,86,1,2.5,NaN,3.93,-1.76854838709678
4,3,1977,9,1977.01198630137,1977.01095890411,162,1,2.3,NaN,3.31,-2.76854838709678
4,3,1977,10,1977.01210045662,1977.01095890411,278,0,2.6,NaN,2.02,-3.16854838709678
4,3,1977,11,1977.01221461187,1977.01095890411,194,1,3.2,NaN,1.63,-3.06854838709677
4,3,1977,12,1977.01232876712,1977.01095890411,223,1,3.5,NaN,1.4,-2.86854838709677
4,3,1977,13,1977.01244292237,1977.01095890411,226,1,3.6,NaN,1.41,-2.56854838709677
4,3,1977,14,1977.01255707763,1977.01095890411,152,1,3.3,NaN,1.35,-2.06854838709677
