simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: tikhonov parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,1,3468591124,12.357,300,17,0.011847,0.19868,0.14469,0.90912,2.0652,0.41302,2.5951,0.74685,0.93849,63.4273,0.15852,63.4276,17.5174,0.058824,0.29872,0.069907,0.020661,0.099647,0.026831,0.12141,0.021107,
0,1,409046857,12.4084,300,17,0.019008,0.19701,0.14347,0.90147,2.2329,0.44656,2.8058,0.85485,1.0742,31.5497,0.1135,31.5509,8.4158,0.058824,0.27529,0.088982,0.029128,0.098338,0.0271,0.17675,0.027157,
0,1,2205593225,12.5332,600,24,0.00083731,0.10408,0.075797,0.47625,1.6238,0.32476,2.0405,0.45124,0.56703,30.2883,0.077659,30.2908,8.2304,0.041667,0.15491,0.043461,0.025044,0.049291,0.024867,0.059564,0.021328,
0,1,109304796,12.5431,600,24,0.0070989,0.097935,0.071322,0.44813,1.5461,0.30921,1.9428,0.50765,0.63791,34.0153,0.083871,34.0207,10.0358,0.041667,0.17932,0.053882,0.025132,0.067216,0.025104,0.092633,0.028927,
0,1,1072651218,7.7677,300,17,0.0085298,0.15141,0.11027,0.69284,1.9829,0.39656,2.4916,0.61616,0.77426,34.9805,0.10516,34.9837,11.3567,0.058824,0.22859,0.055359,0.028674,0.084886,0.026262,0.10379,0.033901,
0,1,2822886526,7.8194,300,17,0.017163,0.11918,0.086797,0.54536,1.6988,0.33974,2.1346,0.40858,0.51342,24.4564,0.092659,24.4573,6.7052,0.058824,0.33007,0.075116,0.031176,0.10504,0.029105,0.11864,0.03078,
0,1,2911546684,7.9756,300,17,0.0082995,0.16923,0.12325,0.77438,2.0415,0.40829,2.5654,0.48831,0.6136,46.6441,0.1213,46.647,12.843,0.058824,0.29823,0.096622,0.02203,0.11727,0.026644,0.22721,0.022365,
0,1,4214318327,8.0241,300,17,0.0047311,0.11904,0.086696,0.54473,1.7087,0.34173,2.1471,0.37533,0.47163,26.5986,0.071266,26.6011,6.9928,0.058824,0.26875,0.05939,0.026561,0.060146,0.022972,0.10287,0.026532,
0,1,1899563756,8.0348,300,17,0.021003,0.15516,0.113,0.71,2.0094,0.40186,2.525,0.50823,0.63864,42.3685,0.11497,42.3715,11.7308,0.058824,0.30958,0.095145,0.027031,0.13532,0.026428,0.20288,0.022777,
0,1,2649484741,8.0373,300,17,0.0099967,0.1454,0.10589,0.66534,1.8843,0.37684,2.3678,0.75882,0.95353,35.8881,0.091311,35.8914,9.7553,0.058824,0.28136,0.081619,0.03611,0.083009,0.024058,0.14822,0.02014,
