simulated_process,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: truncation parameter,transfer: RMSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
0,1,2971482689,11.4444,300,17,0.011912,0.0086303,0.13816,0.86807,0.48014,0.47956,3.0131,0.14055,0.88203,1.6469,0.34844,1.6471,3.6093,1,0.8956,0.7947,0.26301,1.1424,0.24636,0.79639,0.22559,
0,1,4158391938,11.5178,600,24,0.007308,0.0045623,0.073036,0.4589,0.3332,0.33279,2.091,0.089459,0.5614,1.1881,0.068668,1.1884,1.6076,1,0.49323,0.24556,0.11295,0.29049,0.11667,0.27493,0.12963,
0,1,2150416688,11.7075,900,30,0.0047623,0.003067,0.049097,0.30849,0.29016,0.2898,1.8209,0.077992,0.48944,0.83861,0.059379,0.83875,1.2277,1,0.53796,0.24715,0.14127,0.254,0.13052,0.23363,0.16066,
0,1,1972154270,11.8917,300,17,0.0075293,0.0053682,0.085937,0.53996,0.36808,0.36763,2.3099,0.10721,0.67281,1.4199,0.067017,1.4201,1.8104,1,0.42268,0.16295,0.098,0.17789,0.090709,0.18839,0.11312,
0,1,3395726067,11.9454,300,17,0.0042678,0.0073653,0.11791,0.74083,0.46213,0.46156,2.9001,0.1183,0.74239,1.5698,0.12264,1.5702,2.16,1,0.69367,0.37929,0.15766,0.45083,0.12334,0.42671,0.12502,
0,1,3196612270,11.9046,300,17,0.0080846,0.0063995,0.10245,0.64369,0.40119,0.4007,2.5177,0.13023,0.81728,2.2273,0.16931,2.2277,2.9603,1,0.58063,0.32927,0.14713,0.35094,0.13286,0.34134,0.12525,
0,1,43929571,11.9634,300,17,0.005176,0.0053356,0.085415,0.53668,0.43819,0.43765,2.7499,0.18799,1.1798,1.3415,0.12837,1.3419,2.0676,1,0.7597,0.45156,0.18291,0.49008,0.18867,0.39617,0.16967,
0,1,2716977069,11.992,300,17,0.011958,0.0063387,0.10147,0.63757,0.40851,0.408,2.5636,0.098005,0.61503,1.6099,0.086611,1.6103,2.1045,1,0.47435,0.18976,0.10852,0.23569,0.13243,0.14818,0.074512,
0,1,1160233570,12.0031,300,17,0.035373,0.0096795,0.15495,0.9736,0.43923,0.43869,2.7564,0.11847,0.74348,1.6023,0.15044,1.6028,2.3608,1,0.78547,0.54868,0.168,0.65686,0.15636,0.78801,0.1705,
0,1,1948183670,12.0654,300,17,0.0040538,0.005958,0.095378,0.59928,0.40682,0.40632,2.553,0.12522,0.78581,1.777,0.079815,1.7772,2.1498,1,0.27156,0.11825,0.092745,0.12243,0.090223,0.14741,0.085845,
