simulated_process,response_process_shape,response_process,seed,exec time,T,q_bartlett,cov lag 0 RMSE,spec density MSE - FRO,spec density RMSE - FRO,spec density R2MSE - FRO,spec density MSE - intmax,spec density RMSE - intmax,spec density R2MSE - intmax,spec density MSE - maxmax,spec density RMSE - maxmax,spec cross density MSE - L2,spec cross density RMSE - L2,spec cross density MSE - intmax,spec cross density RMSE - intmax,transfer: truncation parameter,transfer: RMSE,transfer: MSE,Z error train,Z error train (true dynamics),Z error test,Z error test (true dynamics),Z error train (holdout),Z error train (holdout true dynamics),
4,3,2,2512026137,20.4689,1200,34,0.0068222,0.012761,0.030749,0.21677,0.63508,0.19346,1.2482,0.16482,0.25423,2.3762,0.048397,2.3763,1.7701,1e-05         0.1,0.21954,0.2081,0.03114,0.0015149,0.035735,0.0018178,0.054508,0.0010896,
1,2,2,2234185252,18.7116,1200,34,0.004234,0.0091007,0.055174,0.52272,0.52373,0.23609,1.5231,0.15351,0.26078,0.062195,0.63785,0.062209,0.91492,1e-05         0.1,0.084711,0.083373,0.067432,0.02096,0.096562,0.023789,0.11822,0.02102,
4,3,1,2483272435,20.2795,1200,34,0.005337,0.019426,0.04681,0.2637,0.72742,0.22159,1.3858,0.25034,0.38615,2.865,0.068207,2.8651,2.2211,1e-05         0.1,0.20893,0.20363,0.018017,0.0014868,0.018197,0.0019155,0.025114,0.001567,
1,3,2,2315831397,20.2713,1200,34,0.0046128,0.0078324,0.047485,0.45682,0.53274,0.24015,1.5838,0.20233,0.34371,0.78765,0.034685,0.78771,0.86343,1e-05         0.1,0.3057,0.31363,0.032374,0.0043524,0.027575,0.0030388,0.052354,0.0018707,
1,2,3,101102698,18.0825,1200,34,0.0055064,0.0077605,0.047049,0.43338,0.51184,0.23073,1.5119,0.15625,0.26544,0.08918,0.69098,0.089211,1.2943,1e-05         0.1,0.35919,0.10587,0.062107,0.016764,0.083247,0.015109,0.13551,0.012425,
4,3,3,452377080,20.345,1200,34,0.0012024,0.011113,0.026779,0.17636,0.60317,0.18374,1.1578,0.19599,0.30231,0.65229,0.017085,0.65242,0.54908,1e-05         0.1,0.48584,0.26106,0.017756,0.0021932,0.017295,0.001748,0.021468,0.0010614,
4,2,2,2567297888,18.239,1200,34,0.0036709,0.017336,0.041773,0.30571,0.71641,0.21824,1.4222,0.24119,0.37203,0.078879,0.78603,0.078901,1.0678,1e-05         0.1,0.070511,0.066515,0.0658,0.021802,0.079664,0.023715,0.13412,0.023066,
1,3,1,3706557590,21.7646,1200,34,0.0041469,0.0082741,0.050163,0.40905,0.52421,0.23631,1.5143,0.14613,0.24825,0.84067,0.03702,0.8407,0.89842,1e-05         0.1,0.37512,0.28673,0.023796,0.0017961,0.020626,0.0017233,0.040165,0.0019533,
1,3,3,2410809229,19.9472,1200,34,0.0041192,0.0064272,0.038966,0.34535,0.47814,0.21554,1.4008,0.15675,0.26628,0.47548,0.036662,0.47557,0.59368,1e-05         0.1,0.44007,0.34645,0.027071,0.0045929,0.030725,0.002,0.043589,0.0021883,
4,2,3,3270091747,18.5829,1200,34,0.0032516,0.01753,0.04224,0.26809,0.69109,0.21052,1.3314,0.23287,0.3592,0.096363,0.72416,0.096381,1.277,1e-05         0.1,0.19764,0.09705,0.053917,0.01399,0.078083,0.015112,0.10606,0.014389,
4,2,1,1666350318,19.3095,1200,34,0.001365,0.015248,0.036742,0.22135,0.65104,0.19832,1.2355,0.20745,0.31999,0.072867,0.71584,0.072874,0.96134,1e-05         0.1,0.084011,0.070906,0.061709,0.020306,0.077888,0.018932,0.12415,0.019827,
1,2,1,3954607492,19.7809,1200,34,0.0028038,0.0081918,0.049664,0.44047,0.51928,0.23408,1.5238,0.2143,0.36404,0.064777,0.66433,0.064791,0.95319,1e-05         0.1,0.083931,0.066672,0.05972,0.020665,0.075261,0.021022,0.096484,0.021179,
0,2,2,3587812624,13.5019,300,17,0.01672,0.0097166,0.16455,1.0339,0.60056,0.44424,2.7912,0.22986,1.0683,0.1115,1.1454,0.11153,1.6381,1e-05         0.1,0.36129,0.31197,0.15601,0.026706,0.40665,0.02257,0.3144,0.014407,
0,2,2,140333960,17.6202,600,24,0.011228,0.0064025,0.10843,0.68126,0.49093,0.36315,2.2817,0.12214,0.56768,0.074809,0.76847,0.074822,1.099,1e-05         0.1,0.11653,0.10927,0.090852,0.025244,0.12307,0.022115,0.23461,0.021757,
1,3,2,647468391,22.5694,300,17,0.066157,0.021526,0.1305,1.1719,0.95521,0.43059,2.9112,0.28787,0.48902,2.5757,0.11342,2.5758,2.8234,1e-05         0.1,1.2007,20.7767,0.11212,0.008609,0.17835,0.0056634,0.35201,0.0026665,
